Organisation,Rank,Country,Description,Names,"Political alignment (0=left, 10=right)",Income $,
Brookings Institution,1,US,Public policy think tank in Washington DC founded in 1916 focussing on both domestic and foreign US policy.,John Rutherford Allen is President. Under Obama he was special presidential envoy to the Global Coalition to Counter ISIL,2,"102,022,000",
Carnegie Endowment for International Peace,2,US,"Foreign policy think tank founded in 1910 with offices in Washington DC, Beijing, Beirut, Brussels and New Delhi which produces regular publications on US foreign policy and security interests.","The President is William Burns, former Deputy Secretary of State under Obama, and the Chair is Penny Pritzker, former Secretary of Commerce under Obama.",4,"41,188,745",
Center for Strategic and International Studies,3,US,"CSIS is a think tank based in Washington DC, founded as part of Georgetown University in 1962 which focuses on issues concerning international relations, trade, technology, finance, energy and geostrategy.","John Hamre, former Deputy Secretary of Defense under President Bill Clinton, is the President and CEO. ",5,"32,300,000",
Chatham House (The Royal Institute of International Affairs),4,UK,An international foreign affairs think tank and NGO based in London and founded in 1920 which is a largely membership-based organisation.,Lord Jim O'Neill is the Chair of Chatham House. He previously served as Commercial Secretary to the UK Treasury under David Cameron and Theresa May.,6,"22,167,040",
Heritage Foundation,5,US,"A conservative think tank based in Washington DC which was founded in 1973, which has a high influence on the policy direction of the Trump administration. ","The President is Kay Coles James, former head of Personnel Management under President George Bush.",10,"81,056,876",
RAND Corporation,6,US,"The RAND (Research and Development) Corporation is a public policy think tank which was created to offer research to the US Armed Forces, advising on issues of national security.","Michael D Rich is President and CEO of RAND Corporation. He was appointed in 2011, having worked at RAND since 1975.",5,"416,682,370",
International Institute for Strategic Studies,7,UK,"The IISS is a London-based think tank, founded in 1958, which produces research and advises governments and corporates on security and foreign policy.",Dr John Chipman is Director-General and Chief Executive of IISS. He has worked at IISS since 1983.,6,"22,866,476",
Woodrow Wilson International Center for Scholars,8,US,A United States Presidential Memorial organisation and think tank based in Washington DC founded in 1945 providing funding for academics and running research programmes for most regions.,Jane Harman is President and CEO of the Wilson Center. She was previously a Democratic Congress member and held defence positions in the Carter administration.,5,"33,924,000",
Peterson Institute for International Economics,9,US,The PIIE is a think tank founded in 1981 which publishes research and policy recommendations on international economics.,"Adam Posen is the President. From 2009-12, he has an external voting member on the Bank of England's Monetary Policy Committee.",5,"12,500,000",
Center for American Progress,10,US,The CAP is a progressive centre-left think tank and policy institute founded in 2003 with close links to the Clinton and Obama presidential campaigns. ,"Neera Tanden is President and CEO of CAP. She was a senior adviser for health reform under President Obama, and was director of domestic policy for the Obama-Biden presidential campaign. ",2,"51,794,792",
Cato Institute,11,US,The Cato institute is a free-market public policy think tank which often criticises foreign policy from a non-interventionist perspective.,"David Boaz is Executive Vice President. He has previously published a number of books on libertarianism. Peter Goettler, a former investment banker, is President and CEO.",9,"31,105,000",
Council on Foreign Relations,12,US,"A foreign and security policy think tank, member organisation and publisher founded in 1921 which provides comprehensive coverage on all regions. ","Richard Hass, former Director of Policy Planning and Special Envoy for Northern Ireland under George W. Bush, is President. David Rubenstein, Co-Founder and Co-CEO of the Carlyle Group, is Chairman.  ",4,81709800,
ECFR,13,UK,"'Pan-European' foreign and security policy think tank founded in 2007 in Berlin, with offices in London, Berlin, Madrid, Paris, Rome, Sofia and Warsaw, established with the help of Open Society Foundations.","The director and co-founder is Mark Leonard, an author who previously founded the Foreign Policy Centre under Tony Blair who worked for Demos. ",4,"9,698,587",
Centre for Economic Policy Research ,14,UK,A London-based think tank founded in 1983 which conducts economic research and publishes work on a media platform called VoxEU.,"The President is Beatrice Weder di Mauro, who previously worked as an academic in economics. Richard Baldwin, a professor at University of Geneva, is Editor-In-Chief at VoxEU.",5,"4,671,804",
Amnesty International UK (Charitable Trust),15,UK,"An NGO based in London and founded in 1961 which runs international campaigns for human rights via legal advocacy, awareness campaigns, research and lobbying.","Julie Verhaar is Acting Secretary General. She has previously led fundraising efforts at UNICEF, Greenpeace and Red Cross Netherlands.",1,"26,858,866",
IDEAs,16,UK,IDEAs is a foreign policy think tank based at the London School of Economics was founded in 2008.,Professors Michael Cox and Christopher Coker are co-Directors of IDEAs. Michael Cox is Emeritus Professor of International Relations at LSE. Christopher Coker is also International Relations professor at LSE.,5,"1,335,909",
Royal United Services Institute,17,UK,The Royal United Services Institute for Defence and Security Studies is an international security and defence think tank founded in 1831. ,"The Director-General is Karin Hippel. Before joining RUSI, she served as Chief of Staff to General John Allen in the Obama administration.",7,"13,174,674",
Atlantic Council,18,US,"Foreign policy think tank based in Washington DC, founded in 1961, with an 'Atlanticist' outlook.","The President and CEO is Frederick Kempe. He comes from a journalistic background, having worked for the Wall Street Journal for thirty years. ",5,"23,507,013",
Belfer Centre,19,US,"Research centre within Harvard University, founded in 1973 which focusses on international security's intersection with science, technology and climate policy.",Ash Carter is the Director. He was previously United States Secretary of Defense under Obama.,4,0,
Centre for European Reform,20,UK,The Centre for European reform is a pro-European think tank based in London which researches all aspects of Europe-wide policy.,Charles Grant is the director. He previously worked largely in journalism at The Economist and was a director and trustee of the British Council.,6,"2,295,698",
Demos,21,UK,Demos is a UK think tank founded in 1993 which houses the Centre for the Analysis of Social Media (CASM) and had close links with New Labour.,"Polly Mackenzie is Chief Executive. She previously worked as a business journalist, worked for former Deputy Prime Minister Nick Clegg (Liberal Democrats).",3,"1,287,101",
Civitas,22,UK,Civitas is a centre-right public policy think tank founded in 2000 began as a unit of the Institute of Economic Affairs.  ,"The Director is David Green, who previously worked at the Institute of Economic Affairs.",8,"1,015,314",
Centre for Policy Studies,23,UK,The Centre for Policy Studies is a think tank and pressure group in London founded in 1974 with close links to the Conservative party. ,Robert Colvile is Director of CPS. He previously had a career in journalism and is a published author.,9,"477,693",
Adam Smith Institute,24,UK,The Adam Smith Institute is a London-based think tank and lobbying group founded in 1977 which supports and researches neoliberal and libertarian/free-market policies.,Duncan Madsen Prie co-founded and directs the ASI. He previously worked in the US Congress for the Republican Party. ,10,"205,559",
